,label,question_text
11,1,The Earnest money shall be paid before _________.
14,1,"Before Closing as defined herein, the Buyer shall pay the balance on the Purchase Price after applying the Earnest Money"
15,1,credit all other applicable amounts in the amount of $_________ before the Closing Date.
20,1,The Buyer must present to the Seller a binding commitment for financing the purchase of the Property within _____ days from the Effective date.
25,1,"In the event that the Buyer is not able to sell or close the sale on the Buyer's Property within the time allowed, this Agreement shall automatically terminated."
27,1,"Before Closing, the seller shall convey and deliver the title to the Buyer from any and all encumbrances."
29,1,"Within ______ days of the Effective date, the Seller must deliver to the Buyer a true and authentic Title Search Report."
30,1,"Within ______ days from the receipt of the Title Search Report, the Buyer must notify the Seller of any matter contained therein that the Buyer finds unacceptable."
41,1,The Buyer shall have the right to conduct an inspection of the Property within _______ days of the Effective Date.
48,1,The Buyer shall have the right to conduct a survey of the Property to ascertain if there are any problems with the boundary lines of the Property within _______ days of the Effective Date.
57,1,"If the Parties are unable come to an agreement within ______ days from the day both Parties receive the appraisal value, the Buyer may, in the Buyer's sole discretion, accept the Purchase Price as it is and proceed with the purchase under this Agreement, or terminate this Agreement and recover the Earnest Money, costs incurred in relation to this Agreement and _____."
65,1,"The Parties agree to deliver to the other Party all notices, certificates, releases and other documents necessary for the recording of the sale and/or transfer to the Property or title to the Seller before the Closing date."
66,1,"Before the Closing date, the Seller shall deliver to the Buyer the following:__."
72,1,Failure by either Party to close or otherwise perform all obligations that fall due or demandable before the Closing date shall allow the other Party to terminate this Agreement and recover all costs incurred or monies paid to the other Party by virtue thereof.
123,1,"If such financing cannot be obtained within the time specified above then either, Purchaser or Seller may terminate this agreement and any earnest money deposited by Purchaser will be promptly refunded."
128,1,purchaser shall pay any and all payments coming due after the closing of the sale.
148,1,"Prior to the closing of the sale, the risk of loss by destruction or damage to the property by fire or otherwise is that of Seller."
158,1,"This offer is void if not accepted by Seller in writing on or before ____ A.M./P.M.of the ___ day of ____ , 20 ___ ."
171,1,"On or before the date the Feasibility Period, an additional ___ Dollars (the Additional Earnest Money) shall be deposited into escrow."
176,1,"Buyer shall have until 4:00 p.m., _______ time, on the date thirty (30) days after the date of this Agreement (the ""Feasibility Period"") within which to inspect the Property and review the documents described in Section 4(c) herein to determine the Property's suitability for Buyer's intended use and to investigate all other aspects of this transaction, including any financing Buyer may seek to obtain."
177,1,"If Buyer is not satisfied with the results of its inspection in its sole discretion, Buyer may terminate this Agreement by delivering written notice of its intention to so terminate to Seller at any time within the Feasibility Period."
181,1,Buyer shall have the right to enter upon the Property between the date of this Agreement and the Closing Date.
189,1,Buyer shall give written notice to Seller within ten (10) days after Buyer has received the Preliminary Report of any defects or encumbrances in Seller's title to which Buyer objects.
190,1,Any defects or encumbrances in title shall be deemed approved by Buyer unless Seller receives written notice of Buyer's objections on or before such date.
191,1,Seller shall notify Buyer within ten (10) days of receipt of Buyer's notice of objections.
192,1,"In the event Seller elects not to cure such defects or encumbrances, Buyer must elect to accept such defects or terminate this Agreement, within three (3) days of being notified of Seller's election not to cure."
